Class_Code,Class_Nbr,Course_Title,Units,Teaching_Staff,Quota_s_,Vacancy,Course_Component,Section_Code,Language,Period,Room,Meeting_Date,Add_Consent,Drop_Consent,Course_Offering_Dept,Period_sql,day_num,start_time,end_time
ACCT1111D,6703,Foundations in Financial Acctg 基礎財務會計,3.00,- Dr. WONG Kin Ho,70,43,LEC,D,E,Th 09:30AM - 12:15PM,CYT_209A,"9/1, 16/1, 23/1",,,Sch of Accountancy,Th_09_30AM___12_15PM,4.0,930.0,1215.0
ACCT1111D,6703,Foundations in Financial Acctg 基礎財務會計,3.00,- Dr. WONG Kin Ho,70,43,LEC,D,E,Th 09:30AM - 12:15PM,CYT_209A,"6/2, 13/2, 20/2, 27/2",,,Sch of Accountancy,Th_09_30AM___12_15PM,4.0,930.0,1215.0
ACCT1111D,6703,Foundations in Financial Acctg 基礎財務會計,3.00,- Dr. WONG Kin Ho,70,43,LEC,D,E,Th 09:30AM - 12:15PM,CYT_209A,"13/3, 20/3, 27/3, 3/4, 10/4, 17/4",,,Sch of Accountancy,Th_09_30AM___12_15PM,4.0,930.0,1215.0
ACCT1111E,6416,Foundations in Financial Acctg 基礎財務會計,3.00,- Dr. WONG Kin Ho,60,1,LEC,E,E,Th 02:30PM - 05:15PM,HTB_B6,"9/1, 16/1, 23/1",,,Sch of Accountancy,Th_02_30PM___05_15PM,4.0,1430.0,1715.0
ACCT1111E,6416,Foundations in Financial Acctg 基礎財務會計,3.00,- Dr. WONG Kin Ho,60,1,LEC,E,E,Th 02:30PM - 05:15PM,HTB_B6,"6/2, 13/2, 20/2",,,Sch of Accountancy,Th_02_30PM___05_15PM,4.0,1430.0,1715.0
ACCT1111E,6416,Foundations in Financial Acctg 基礎財務會計,3.00,- Dr. WONG Kin Ho,60,1,LEC,E,E,Th 02:30PM - 05:15PM,WMY_305,27/2,,,Sch of Accountancy,Th_02_30PM___05_15PM,4.0,1430.0,1715.0
ACCT1111E,6416,Foundations in Financial Acctg 基礎財務會計,3.00,- Dr. WONG Kin Ho,60,1,LEC,E,E,Th 02:30PM - 05:15PM,ELB_LT1,13/3,,,Sch of Accountancy,Th_02_30PM___05_15PM,4.0,1430.0,1715.0
ACCT1111E,6416,Foundations in Financial Acctg 基礎財務會計,3.00,- Dr. WONG Kin Ho,60,1,LEC,E,E,Th 02:30PM - 05:15PM,ARC_G04,"20/3, 27/3, 3/4, 10/4, 17/4",,,Sch of Accountancy,Th_02_30PM___05_15PM,4.0,1430.0,1715.0
ACCT2111I,5459,Introductory Fin'l Accounting 財務會計導論,3.00,- Professor HE Jiapeng,65,2,LEC,I,E,Fr 08:30AM - 11:15AM,ELB_405,"10/1, 17/1, 24/1",,,Sch of Accountancy,Fr_08_30AM___11_15AM,5.0,830.0,1115.0
ACCT2111I,5459,Introductory Fin'l Accounting 財務會計導論,3.00,- Professor HE Jiapeng,65,2,LEC,I,E,Fr 08:30AM - 11:15AM,ELB_405,"7/2, 14/2, 21/2, 28/2",,,Sch of Accountancy,Fr_08_30AM___11_15AM,5.0,830.0,1115.0
